label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
hole,3040,894,45,42,B1.JPG,3311,3857
screw,3037,1914,37,33,B1.JPG,3311,3857
screw,2416,850,37,42,B1.JPG,3311,3857
screw,2327,808,44,42,B1.JPG,3311,3857
screw,2708,2005,64,62,B1.JPG,3311,3857
screw,2488,1329,62,59,B1.JPG,3311,3857
screw,2206,1296,78,75,B1.JPG,3311,3857
screw,2124,2216,60,57,B1.JPG,3311,3857
screw,1906,1371,64,59,B1.JPG,3311,3857
hole,1856,1936,51,51,B1.JPG,3311,3857
hole,1422,2241,45,52,B1.JPG,3311,3857
screw,1333,1284,62,64,B1.JPG,3311,3857
screw,1358,738,36,37,B1.JPG,3311,3857
screw,546,1640,38,38,B1.JPG,3311,3857
hole,737,646,42,42,B1.JPG,3311,3857
screw,2460,2836,39,39,B1.JPG,3311,3857
screw,1691,2754,36,36,B1.JPG,3311,3857
screw,925,2668,34,39,B1.JPG,3311,3857
